date_creation_entreprise;fichier_source;id_soc;nom_societe;secteur_entreprise;siege_social_entreprise;taille_entreprise;type_entreprise;ville_entreprise
 1979;13660-INFO-SOC-GLASSDOOR-E26056_P1.html;66;Groupe SII; Services informatiques;Paris;De 1 001 à 5 000 employés; Entreprise cotée en bourse (SII) ;Paris
 2006;13661-INFO-SOC-GLASSDOOR-E633820_P1.html;67;Sii Poland; Services informatiques;Varsovie (Pologne);De 1 001 à 5 000 employés; Entreprise non cotée en bourse;Varsovie (Pologne)
 2014;13668-INFO-SOC-GLASSDOOR-E1127933_P1.html;68;cerema; Inconnu;Bron, Rhône-Alpes;De 1 001 à 5 000 employés; Inconnu;Bron, Rhône-Alpes
 Inconnu;13673-INFO-SOC-GLASSDOOR-E1464013_P1.html;69;Paris Inn Group; Inconnu;Paris;De 501 à 1 000 employés; Entreprise non cotée en bourse;Paris
 1981;13558-INFO-SOC-GLASSDOOR-E6162_P1.html;7;Dassault Systemes; Matériel et logiciels informatiques;Vélizy;Plus de 10 000 employés; Entreprise cotée en bourse (DASTY) ;Vélizy
 Inconnu;13676-INFO-SOC-GLASSDOOR-E1130981_P1.html;70;Groupe Altice Média; Inconnu;Paris;De 501 à 1 000 employés; Inconnu;Paris
 1941;13677-INFO-SOC-GLASSDOOR-E1063459_P1.html;71;CALIDA Group; Inconnu;Sursee (Suisse);Inconnu; Inconnu;Sursee (Suisse)
 1997;13678-INFO-SOC-GLASSDOOR-E379472_P1.html;72;Logware; Conseils;Paris;Entre 201 et 500 employés; Entreprise non cotée en bourse;Paris
 2000;13679-INFO-SOC-GLASSDOOR-E906809_P1.html;73;Fortuneo SA; Banques et organismes de crédit;Paris;Entre 201 et 500 employés; Filiale ou unité d'exploitation;Paris
 Inconnu;13689-INFO-SOC-GLASSDOOR-E2098670_P1.html;74;Adsearch; Inconnu;Paris;De 51 à 200 employés; Entreprise non cotée en bourse;Paris
 1987;13691-INFO-SOC-GLASSDOOR-E1130973_P1.html;75;Groupe Adéquat; Recrutement et sous-traitance;Lyon;De 501 à 1 000 employés; Entreprise non cotée en bourse;Lyon
 2011;13692-INFO-SOC-GLASSDOOR-E929611_P1.html;76;Teads; Publicité et marketing;Luxembourg (Luxembourg);De 501 à 1 000 employés; Entreprise non cotée en bourse;Luxembourg (Luxembourg)
 2010;13693-INFO-SOC-GLASSDOOR-E762009_P1.html;77;Datadog; Matériel et logiciels informatiques;New York, NY (États-Unis);De 1 001 à 5 000 employés; Entreprise cotée en bourse (DDOG) ;New York, NY (États-Unis)
 1987;13699-INFO-SOC-GLASSDOOR-E3489_P1.html;78;LVMH; Autres magasins de détail;Paris;Plus de 10 000 employés; Entreprise cotée en bourse (MC) ;Paris
"<a href=""/Présentation/Travailler-chez-LVMH-EI_IE3489.16,20.htm"">LVMH</a>";13700-INFO-SOC-GLASSDOOR-E1127781_P1.html;79;CELINE; Cabinet / Société du secteur privé;Paris;De 1 001 à 5 000 employés; 1945;Paris
"<a href=""/Présentation/Travailler-chez-Dassault-Systemes-EI_IE6162.16,33.htm"">Dassault Systemes</a>";13559-INFO-SOC-GLASSDOOR-E13824_P1.html;8;SolidWorks; Filiale ou unité d'exploitation;Waltham, MA (États-Unis);De 501 à 1 000 employés; 1993;Waltham, MA (États-Unis)
"<a href=""/Présentation/Travailler-chez-LVMH-EI_IE3489.16,20.htm"">LVMH</a>";13701-INFO-SOC-GLASSDOOR-E1132974_P1.html;80;Les Echos; Filiale ou unité d'exploitation;Paris;Entre 201 et 500 employés; 1908;Paris
"<a href=""/Présentation/Travailler-chez-LVMH-EI_IE3489.16,20.htm"">LVMH</a>";13702-INFO-SOC-GLASSDOOR-E1159854_P1.html;81;Kendo; Filiale ou unité d'exploitation;San Francisco, CA (États-Unis);Entre 201 et 500 employés; Inconnu;San Francisco, CA (États-Unis)
 1973;13704-INFO-SOC-GLASSDOOR-E9347_P1.html;82;Sanofi; Biotechnologies et pharmaceutique;Paris;Plus de 10 000 employés; Entreprise cotée en bourse (SNY) ;Paris
 Entreprise non cotée en bourse;13705-INFO-SOC-GLASSDOOR-E2762239_P1.html;83;Sanofi Pasteur; Ne sait pas / non applicable par an;Inconnu; Inconnu; Inconnu;Inconnu
 Inconnu;13706-INFO-SOC-GLASSDOOR-E19928_P1.html;84;Merial; Fabrication de produits grand public;Harlow, Angleterre (Royaume-Uni);De 1 001 à 5 000 employés; Filiale ou unité d'exploitation;Harlow, Angleterre (Royaume-Uni)
 1885;13708-INFO-SOC-GLASSDOOR-E4252_P1.html;85;Groupe Crédit Agricole; Investissements bancaires et gestion d'actifs;Montrouge;De 5 001 à 10 000 employés; Entreprise cotée en bourse (CRARF) ;Montrouge
 Inconnu;13709-INFO-SOC-GLASSDOOR-E1365869_P1.html;86;Groupe Crédit Agricole du Maroc; Banques et organismes de crédit;Rabat (Maroc);De 501 à 1 000 employés; Entreprise cotée en bourse;Rabat (Maroc)
"<a href=""/Présentation/Travailler-chez-Groupe-Crédit-Agricole-EI_IE4252.16,38.htm"">Groupe Crédit Agricole</a>";13710-INFO-SOC-GLASSDOOR-E476908_P1.html;87;CACIB; Entreprise non cotée en bourse;Paris;De 5 001 à 10 000 employés; 1994;Paris
 Inconnu;13711-INFO-SOC-GLASSDOOR-E3043501_P1.html;88;Crédit Agricole d'Ile de France; Inconnu;Paris;De 1 001 à 5 000 employés; Inconnu;Paris
