experience_emp;fichier_source;fonction_emp;formation_emp;lieu_emp;missions_emp;niveau_hierarchique;nom_societe_gemini;nom_societe_scrap;secteur_emp;soft_skills_emp;technos_emp;titre_emp;type_emp
NULL;13760-INFO-EMP-LINKEDIN-FR-1645146997.html;Ingénierie;NULL;Montpellier, FR;NULL;Premier emploi;NULL;GFI;Technologies de l’information;NULL;NULL;INGENIEUR DECISIONNEL (H/F);Temps plein
NULL;13761-INFO-EMP-LINKEDIN-FR-1599269631.html;Développement commercial;NULL;Aix-en-Provence, FR;NULL;Premier emploi;NULL;Freelance-info.fr;Ventes;NULL;NULL;Ingénieur Décisionnel / BI (H/F) / Freelance;Temps plein
NULL;13762-INFO-EMP-LINKEDIN-FR-1646215303.html;Développement commercial;NULL;Aix-en-Provence, FR;NULL;Premier emploi;NULL;BeMore Holding;Ventes;NULL;NULL;Ingénieur Décisionnel / BI (H/F);Temps plein
NULL;13763-INFO-EMP-LINKEDIN-FR-1638827538.html;Ingénierie;NULL;Montpellier, FR;NULL;Premier emploi;NULL;2S2I;Technologies de l’information;NULL;NULL;Ingénieur décisionnel F/H;Temps plein
NULL;13764-INFO-EMP-LINKEDIN-FR-1640496251.html;Ingénierie;NULL;Lille, FR;NULL;Premier emploi;NULL;rh Studio;Technologies de l’information;NULL;NULL;INGENIEUR D'ETUDES DECISIONNEL F/H;Temps plein
NULL;13567-INFO-EMP-LINKEDIN-FR-1602713384.html;Ingénierie;NULL;Lyon, FR;NULL;Premier emploi;NULL;HAVANA IT & APPS;Technologies de l’information;NULL;NULL;Data Scientist (H/F) – Lyon;Temps plein
NULL;13765-INFO-EMP-LINKEDIN-FR-1490382724.html;Ingénierie;NULL;Boulogne-Billancourt, FR;NULL;Premier emploi;NULL;CEGEDIM SRH;Technologies de l’information;NULL;NULL;Ingénieur Décisionnel (H/F) - Boulogne Billancourt (France);Temps plein
NULL;13766-INFO-EMP-LINKEDIN-FR-1640390734.html;Ingénierie;NULL;Talence, FR;NULL;Premier emploi;NULL;CHU de Bordeaux;Technologies de l’information;NULL;NULL;INGENIEUR DECISIONNEL F/H;Temps plein
NULL;13767-INFO-EMP-LINKEDIN-FR-1644723772.html;Ingénierie;NULL;Paris, FR;NULL;Premier emploi;NULL;TV France International;Technologies de l’information;NULL;NULL;Stage ingénieur décisionnel, H/F;Temps plein
NULL;13768-INFO-EMP-LINKEDIN-FR-1640419997.html;Ingénierie;NULL;Courbevoie, FR;NULL;Premier emploi;NULL;Axande;Technologies de l’information;NULL;NULL;Ingénieur décisionnel F/H;Temps plein
NULL;13769-INFO-EMP-LINKEDIN-FR-1643470843.html;Ingénierie;NULL;Mérignac, FR;NULL;Premier emploi;NULL;Banco Cetelem, BNP Paribas Personal Finance;Technologies de l’information;NULL;NULL;Ingénieur Décisionnel H/F;Temps plein
NULL;13770-INFO-EMP-LINKEDIN-FR-1610806678.html;Développement commercial;NULL;Paris, FR;NULL;Confirmé;NULL;Sogia Systeme;Ventes;NULL;NULL;CONSULTANT DECISIONNEL GENIO/OTIC;Temps plein
NULL;13771-INFO-EMP-LINKEDIN-FR-1638315919.html;Développement commercial;NULL;Puteaux, FR;NULL;Confirmé;NULL;PERFECTSIGHT;Ventes;NULL;NULL;Consultant / Consultante décisionnel - Business Intelligence;Temps plein
NULL;13772-INFO-EMP-LINKEDIN-FR-1602703608.html;Développement commercial;NULL;Aix-en-Provence, FR;NULL;Confirmé;NULL;Fitae;Ventes;NULL;NULL;Consultant Décisionnel / Data Scientist (H/F);Temps plein
NULL;13773-INFO-EMP-LINKEDIN-FR-1580555680.html;Technologies de l’information;NULL;Aix-en-Provence, Provence-Alpes-Côte d’Azur, France;NULL;Confirmé;NULL;Montreal Associates;Comptabilité;NULL;NULL;Consultant Décisionnel Qlik ou Power BI;Temps plein
